[1]SeCode|[2]TradingDate|[3]TradingTime|[4]TradingDateTime|[5]Price|[6]Volume|[7]BuySellDirection|[8]Exg|[9]LocalTime|[10]RecId|[11]TradeChannel|[12]TradeAmount|[13]BuyRecID|[14]SellRecID|[15]GTALocalTime|[16]PacketTimeStamp
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|200|N|SSE|092530070|38481|5|2776.00|214458|5005|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|800|N|SSE|092530070|38482|5|11104.00|214458|185638|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|700|N|SSE|092530070|38483|5|9716.00|214458|308598|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|2000|N|SSE|092530070|38484|5|27760.00|214458|236210|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|300|N|SSE|092530070|38485|5|4164.00|214458|285412|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|1500|N|SSE|092530070|38486|5|20820.00|309714|285412|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|100|N|SSE|092530070|38487|5|1388.00|309714|182415|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|400|N|SSE|092530070|38488|5|5552.00|309714|206038|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|100|N|SSE|092530070|38489|5|1388.00|227708|206038|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|100|N|SSE|092530070|38490|5|1388.00|227708|275481|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|800|N|SSE|092530070|38491|5|11104.00|231382|275481|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|400|N|SSE|092530070|38492|5|5552.00|224949|275481|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|2000|N|SSE|092530070|38493|5|27760.00|224949|298969|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|6000|N|SSE|092530070|38494|5|83280.00|224949|311608|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|900|N|SSE|092530070|38495|5|12492.00|224949|265191|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|1000|N|SSE|092530070|38496|5|13880.00|224949|296230|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|1500|N|SSE|092530070|38497|5|20820.00|224949|304241|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|2700|N|SSE|092530070|38498|5|37476.00|224949|313463|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|300|N|SSE|092530070|38499|5|4164.00|242555|313463|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|1000|N|SSE|092530070|38500|5|13880.00|259943|313463|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|1100|N|SSE|092530070|38501|5|15268.00|270694|313463|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|2000|N|SSE|092530070|38502|5|27760.00|277702|313463|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|3700|N|SSE|092530070|38503|5|51356.00|151900|313463|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|1000|N|SSE|092530070|38504|5|13880.00|200633|313463|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|700|N|SSE|092530070|38505|5|9716.00|207837|313463|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|100|N|SSE|092530070|38506|5|1388.00|237049|313463|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|100|N|SSE|092530070|38507|5|1388.00|273206|313463|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|5000|N|SSE|092530070|38508|5|69400.00|279801|313463|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|200|N|SSE|092530070|38509|5|2776.00|284992|313463|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|2600|N|SSE|092530070|38510|5|36088.00|289846|313463|92529391|20200707092529000
603080.SH|20200707|092500850|2020-07-07 09:25:00|13.88|800|N|SSE|092530071|38511|5|11104.00|309417|313463|92529391|20200707092529000
603080.SH|20200707|093000120|2020-07-07 09:30:00|13.85|3000|S|SSE|093001418|75918|5|41550.00|310574|317228|93000319|20200707093000000
603080.SH|20200707|093000400|2020-07-07 09:30:00|13.85|1000|B|SSE|093005167|79193|5|13850.00|320249|317228|93004384|20200707093004000
603080.SH|20200707|093000760|2020-07-07 09:30:00|13.85|2000|B|SSE|093008117|81989|5|27700.00|324708|317228|93007133|20200707093007000
603080.SH|20200707|093001000|2020-07-07 09:30:01|13.85|200|B|SSE|093009443|84021|5|2770.00|327676|317228|93008427|20200707093008000
603080.SH|20200707|093001110|2020-07-07 09:30:01|13.85|2500|B|SSE|093011472|85655|5|34625.00|329860|317228|93010425|20200707093010000
603080.SH|20200707|093002770|2020-07-07 09:30:02|13.85|12000|B|SSE|093025165|98262|5|166200.00|352806|317228|93024385|20200707093024000
603080.SH|20200707|093002880|2020-07-07 09:30:02|13.85|4300|B|SSE|093025212|99061|5|59555.00|354604|317228|93024394|20200707093024000
603080.SH|20200707|093002880|2020-07-07 09:30:02|13.84|100|S|SSE|093025222|99269|5|1384.00|348049|355142|93024394|20200707093024000
603080.SH|20200707|093002990|2020-07-07 09:30:02|13.85|3000|B|SSE|093026336|100115|5|41550.00|356596|317228|93025425|20200707093025000
603080.SH|20200707|093003120|2020-07-07 09:30:03|13.85|1000|B|SSE|093027135|101301|5|13850.00|358887|317228|93026386|20200707093026000
603080.SH|20200707|093003470|2020-07-07 09:30:03|13.84|700|S|SSE|093030366|103938|5|9688.00|348049|364039|93029402|20200707093029000
603080.SH|20200707|093003470|2020-07-07 09:30:03|13.83|500|S|SSE|093030366|103939|5|6915.00|156927|364039|93029402|20200707093029000
603080.SH|20200707|093003820|2020-07-07 09:30:03|13.83|200|S|SSE|093032376|106045|5|2766.00|173118|368800|93031408|20200707093031000
603080.SH|20200707|093004170|2020-07-07 09:30:04|13.85|200|B|SSE|093034461|108716|5|2770.00|374491|317228|93033410|20200707093033000
603080.SH|20200707|093004560|2020-07-07 09:30:04|13.85|500|B|SSE|093038223|110484|5|6925.00|378369|317228|93037184|20200707093037000
